division_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id
4,2000.415301,2000.830601,Y,15-49,MICS,MW,0.036,0.012,0.053,NA,NA,N,,Y,"Data pertain to Nangarhar, Konar and Laghman, Ghazni, Paktika and Paktya, Logar and Wardak provinces.",N,,?,None,N,,Y,NA,NA,NA,NA,NA,NA,2893,Y_1
4,2003.413699,2003.578082,Y,15-49,MICS,MW,0.087,0.016,0.103,NA,NA,N,,N,,N,,?,None,N,,Y,NA,NA,NA,NA,NA,NA,1925,Y_2
4,2005.413699,2005.663014,Y,15-49,National survey,MW,0.125,0.011,0.136,NA,NA,N,,N,,N,,?,None,N,,Y,NA,NA,NA,NA,NA,NA,4368,Y_3
4,2006.70411,2006.912329,Y,15-49,National survey,MW,0.175,0.011,0.186,NA,NA,N,,Y,"Excluding the six largest cities (Kabul, Hirat, Mazar-e-Sharif, Kunduz, Jalalabad and Kandahar), 5 of the 34 provinces in the country and 28 out of the selected 425 clusters where fieldwork was not completed due to security reasons.",N,,?,None,N,,Y,NA,NA,NA,NA,NA,NA,4369,Y_4
4,2007.619178,2008.663934,Y,15-49,National survey,MW,0.152,0.076,0.228,NA,NA,N,,N,,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,4465,Y_5
4,2010.747945,2011.410959,Y,15-49,MICS,MW,0.202082258,0.010312841,0.2123951,NA,NA,N,,N,,N,,None,None,N,,Y,0.006912198,0.001169834,NA,0.043237573,0.116610939,NA,4983,Y_6
4,2010.246575,2010.99726,Y,15-49,National survey,MW,0.199,0.019,0.218,NA,NA,N,,Y,Excluding areas in the South zone.,N,,None,None,N,,N,NA,NA,NA,NA,NA,NA,5045,Y_7
4,2012.581967,2012.997268,Y,15-49,National survey,MW,0.138,NA,NA,NA,NA,N,,N,,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,7515,Y_8
4,2015.413699,2016.161202,Y,15-49,DHS,MW,0.197840789,0.026864288,0.224705077,NA,0.244653465,N,,N,,N,,None,None,N,,N,0.006802585,0.002147634,0.005415976,0.043837429,0.08503315,0.030762159,5689,Y_9
4,2015.49589,2015.99726,Y,15-49,National survey,MW,0.163,NA,NA,NA,NA,N,,N,,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,7507,Y_10
8,2000.415301,2000.513661,Y,15-49,MICS,MW,0.174593543,0.400857436,0.575450979,NA,NA,N,,N,,N,,None,None,N,,N,0.010513019,0.01819887,NA,0.088144344,0.087388811,NA,1943,Y_11
8,2002.580822,2002.99726,Y,15-49,Other,MW,0.08,0.671,0.751,NA,NA,N,,N,,N,,?,None,N,,N,NA,NA,NA,NA,NA,NA,1681,Y_12
8,2005.747945,2005.912329,Y,15-49,MICS,MW,0.24828157,0.352945302,0.601226872,NA,NA,N,,N,,N,,None,None,N,,N,0.013524941,0.017002711,NA,0.083135069,0.084929219,NA,1906,Y_13
8,2008.748634,2009.326027,Y,15-49,DHS,MW,0.106279905,0.587052517,0.693332422,NA,0.12863141,N,,N,,N,,None,None,N,,N,0.005968363,0.012729963,0.00776014,0.080172409,0.063049145,0.072929847,4483,Y_14
8,2017.693151,2018.136986,Y,15-49,DHS,MW,0.036538404,0.423548471,0.460086875,NA,0.151697748,N,,N,,N,,None,None,N,,N,0.002850003,0.017040649,0.007323848,0.08118024,0.070972369,0.047678736,7474,Y_15
