division_numeric_code,region_numeric_code,sub_region_numeric_code,is_developed_region,is_less_developed_region,is_least_developed_country,is_in_sub_saharan_africa,is_unmarried_sexual_activity,is_low_population,is_fp2020
4,935,921,N,Y,Y,N,N,N,Y
8,908,925,Y,N,N,N,Y,N,N
12,903,912,N,Y,N,N,N,N,N
16,909,957,N,Y,N,N,Y,Y,N
20,908,925,Y,N,N,N,Y,Y,N
24,903,911,N,Y,Y,Y,Y,N,N
28,904,915,N,Y,N,N,Y,N,N
31,935,922,N,Y,N,N,N,N,N
32,904,931,N,Y,N,N,Y,N,N
36,909,927,Y,N,N,N,Y,N,N
40,908,926,Y,N,N,N,Y,N,N
44,904,915,N,Y,N,N,Y,N,N
48,935,922,N,Y,N,N,N,N,N
50,935,921,N,Y,Y,N,N,N,Y
51,935,922,N,Y,N,N,N,N,N
52,904,915,N,Y,N,N,Y,N,N
56,908,926,Y,N,N,N,Y,N,N
60,905,905,Y,N,N,N,Y,Y,N
64,935,921,N,Y,Y,N,N,N,Y
68,904,931,N,Y,N,N,Y,N,Y
70,908,925,Y,N,N,N,Y,N,N
72,903,913,N,Y,N,Y,Y,N,N
76,904,931,N,Y,N,N,Y,N,N
84,904,916,N,Y,N,N,Y,N,N
90,909,928,N,Y,Y,N,Y,N,Y
92,904,915,N,Y,N,N,Y,Y,N
96,935,920,N,Y,N,N,N,N,N
100,908,923,Y,N,N,N,Y,N,N
104,935,920,N,Y,Y,N,N,N,Y
108,903,910,N,Y,Y,Y,Y,N,Y
112,908,923,Y,N,N,N,Y,N,N
116,935,920,N,Y,Y,N,N,N,Y
120,903,911,N,Y,N,Y,Y,N,Y
124,905,905,Y,N,N,N,Y,N,N
132,903,914,N,Y,N,Y,Y,N,N
136,904,915,N,Y,N,N,Y,Y,N
140,903,911,N,Y,Y,Y,Y,N,Y
144,935,921,N,Y,N,N,N,N,Y
148,903,911,N,Y,Y,Y,Y,N,Y
152,904,931,N,Y,N,N,Y,N,N
156,935,906,N,Y,N,N,Y,N,N
158,935,906,N,Y,N,N,Y,N,N
170,904,931,N,Y,N,N,Y,N,N
174,903,910,N,Y,Y,Y,Y,N,Y
175,903,910,N,Y,N,Y,N,N,N
178,903,911,N,Y,N,Y,Y,N,Y
180,903,911,N,Y,Y,Y,Y,N,Y
184,909,957,N,Y,N,N,Y,Y,N
188,904,916,N,Y,N,N,Y,N,N
191,908,925,Y,N,N,N,Y,N,N
192,904,915,N,Y,N,N,Y,N,N
196,935,922,N,Y,N,N,Y,N,N
203,908,923,Y,N,N,N,Y,N,N
204,903,914,N,Y,Y,Y,Y,N,Y
208,908,924,Y,N,N,N,Y,N,N
212,904,915,N,Y,N,N,Y,Y,N
214,904,915,N,Y,N,N,Y,N,N
218,904,931,N,Y,N,N,Y,N,N
222,904,916,N,Y,N,N,Y,N,N
226,903,911,N,Y,Y,Y,Y,N,N
231,903,910,N,Y,Y,Y,Y,N,Y
232,903,910,N,Y,Y,Y,Y,N,Y
233,908,924,Y,N,N,N,Y,N,N
234,908,924,Y,N,N,N,Y,Y,N
238,904,931,N,Y,N,N,Y,Y,N
242,909,928,N,Y,N,N,Y,N,N
246,908,924,Y,N,N,N,Y,N,N
250,908,926,Y,N,N,N,Y,N,N
254,904,931,N,Y,N,N,Y,N,N
258,909,957,N,Y,N,N,Y,N,N
262,903,910,N,Y,Y,Y,N,N,Y
266,903,911,N,Y,N,Y,Y,N,N
268,935,922,N,Y,N,N,Y,N,N
270,903,914,N,Y,Y,Y,Y,N,Y
275,935,922,N,Y,N,N,N,N,Y
276,908,926,Y,N,N,N,Y,N,N
288,903,914,N,Y,N,Y,Y,N,Y
292,908,925,Y,N,N,N,Y,Y,N
296,909,954,N,Y,Y,N,Y,N,N
300,908,925,Y,N,N,N,Y,N,N
304,905,905,Y,N,N,N,Y,Y,N
308,904,915,N,Y,N,N,Y,N,N
312,904,915,N,Y,N,N,Y,N,N
316,909,954,N,Y,N,N,Y,N,N
320,904,916,N,Y,N,N,Y,N,N
324,903,914,N,Y,Y,Y,Y,N,Y
328,904,931,N,Y,N,N,Y,N,N
332,904,915,N,Y,Y,N,Y,N,Y
336,908,925,Y,N,N,N,Y,Y,N
340,904,916,N,Y,N,N,Y,N,Y
344,935,906,N,Y,N,N,Y,N,N
