"is_in_union","division_numeric_code","population_count","age_range","mid_year"
"Y",4,2030527,"15-49","1970"
"Y",8,300141,"15-49","1970"
"Y",12,1995757,"15-49","1970"
"Y",16,3477,"15-49","1970"
"Y",24,980282,"15-49","1970"
"Y",28,5211,"15-49","1970"
"Y",31,755409,"15-49","1970"
"Y",32,3620060,"15-49","1970"
"Y",36,1788561,"15-49","1970"
"Y",40,1163242,"15-49","1970"
"Y",44,21559,"15-49","1970"
"Y",48,29411,"15-49","1970"
"Y",50,11799494,"15-49","1970"
"Y",51,402206,"15-49","1970"
"Y",52,26645,"15-49","1970"
"Y",56,1626849,"15-49","1970"
"Y",60,7766,"15-49","1970"
"Y",64,46304,"15-49","1970"
"Y",68,633871,"15-49","1970"
"Y",70,580569,"15-49","1970"
"Y",72,64076,"15-49","1970"
"Y",76,12497358,"15-49","1970"
"Y",84,16780,"15-49","1970"
"Y",90,23820,"15-49","1970"
"Y",92,1070,"15-49","1970"
"Y",96,18301,"15-49","1970"
"Y",100,1626667,"15-49","1970"
"Y",104,3975520,"15-49","1970"
"Y",108,498976,"15-49","1970"
"Y",112,1627507,"15-49","1970"
"Y",116,1010504,"15-49","1970"
"Y",120,1097088,"15-49","1970"
"Y",124,3604888,"15-49","1970"
"Y",132,25759,"15-49","1970"
"Y",136,1148,"15-49","1970"
"Y",140,312421,"15-49","1970"
"Y",144,1712265,"15-49","1970"
"Y",148,650581,"15-49","1970"
"Y",152,1308549,"15-49","1970"
"Y",156,119774672,"15-49","1970"
"Y",158,2034068,"15-49","1970"
"Y",170,2531944,"15-49","1970"
"Y",174,34282,"15-49","1970"
"Y",175,3521,"15-49","1970"
"Y",178,173462,"15-49","1970"
"Y",180,3304386,"15-49","1970"
"Y",184,2416,"15-49","1970"
"Y",188,233656,"15-49","1970"
"Y",191,750979,"15-49","1970"
"Y",192,1357679,"15-49","1970"
"Y",196,89081,"15-49","1970"
"Y",203,1749162,"15-49","1970"
"Y",204,555008,"15-49","1970"
"Y",208,796104,"15-49","1970"
"Y",212,6556,"15-49","1970"
"Y",214,586073,"15-49","1970"
"Y",218,785984,"15-49","1970"
"Y",222,476426,"15-49","1970"
"Y",226,44140,"15-49","1970"
"Y",231,5049892,"15-49","1970"
"Y",232,207178,"15-49","1970"
"Y",233,231695,"15-49","1970"
"Y",234,5100,"15-49","1970"
"Y",238,355,"15-49","1970"
"Y",242,77005,"15-49","1970"
"Y",246,710743,"15-49","1970"
"Y",250,8050862,"15-49","1970"
"Y",254,5707,"15-49","1970"
"Y",258,10913,"15-49","1970"
"Y",262,17232,"15-49","1970"
"Y",266,121945,"15-49","1970"
"Y",268,798418,"15-49","1970"
"Y",270,89686,"15-49","1970"
"Y",275,157229,"15-49","1970"
"Y",276,10932629,"15-49","1970"
"Y",288,1298975,"15-49","1970"
"Y",292,4776,"15-49","1970"
"Y",296,7188,"15-49","1970"
"Y",300,1388953,"15-49","1970"
"Y",304,5734,"15-49","1970"
"Y",308,7354,"15-49","1970"
"Y",312,36083,"15-49","1970"
"Y",316,11317,"15-49","1970"
"Y",320,818853,"15-49","1970"
"Y",324,796718,"15-49","1970"
"Y",328,79708,"15-49","1970"
"Y",332,579248,"15-49","1970"
"Y",340,348780,"15-49","1970"
"Y",344,524956,"15-49","1970"
"Y",348,1935488,"15-49","1970"
"Y",352,28297,"15-49","1970"
"Y",356,104289076,"15-49","1970"
"Y",360,18507373,"15-49","1970"
"Y",364,4642516,"15-49","1970"
"Y",368,1411978,"15-49","1970"
"Y",372,320947,"15-49","1970"
"Y",376,428311,"15-49","1970"
"Y",380,8466825,"15-49","1970"
"Y",384,831491,"15-49","1970"
"Y",388,213900,"15-49","1970"
"Y",392,18602832,"15-49","1970"
"Y",398,2066444,"15-49","1970"
"Y",400,263646,"15-49","1970"
"Y",404,1454722,"15-49","1970"
"Y",408,2540227,"15-49","1970"
"Y",410,4634596,"15-49","1970"
"Y",414,107537,"15-49","1970"
"Y",417,443863,"15-49","1970"
"Y",418,415616,"15-49","1970"
"Y",422,302261,"15-49","1970"
"Y",426,179150,"15-49","1970"
"Y",428,405679,"15-49","1970"
"Y",430,239230,"15-49","1970"
"Y",434,276945,"15-49","1970"
"Y",438,2932,"15-49","1970"
"Y",440,536197,"15-49","1970"
"Y",442,56333,"15-49","1970"
"Y",446,27080,"15-49","1970"
"Y",450,929915,"15-49","1970"
"Y",454,806545,"15-49","1970"
"Y",458,1517414,"15-49","1970"
"Y",462,19318,"15-49","1970"
"Y",466,1086437,"15-49","1970"
"Y",470,42664,"15-49","1970"
"Y",474,30490,"15-49","1970"
"Y",478,164681,"15-49","1970"
"Y",480,113446,"15-49","1970"
"Y",484,6871233,"15-49","1970"
"Y",496,160231,"15-49","1970"
"Y",498,634169,"15-49","1970"
"Y",499,86446,"15-49","1970"
"Y",500,867,"15-49","1970"
"Y",504,2514024,"15-49","1970"
"Y",508,1583065,"15-49","1970"
"Y",512,113543,"15-49","1970"
"Y",516,106587,"15-49","1970"
"Y",520,957,"15-49","1970"
"Y",524,2431463,"15-49","1970"
"Y",528,2108674,"15-49","1970"
"Y",531,14007,"15-49","1970"
"Y",533,7315,"15-49","1970"
"Y",540,8440,"15-49","1970"
"Y",548,11617,"15-49","1970"
"Y",554,349115,"15-49","1970"
"Y",558,306703,"15-49","1970"
"Y",562,920181,"15-49","1970"
"Y",566,9987180,"15-49","1970"
"Y",578,578926,"15-49","1970"
"Y",583,6730,"15-49","1970"
"Y",584,2312,"15-49","1970"
"Y",585,1295,"15-49","1970"
"Y",586,9315843,"15-49","1970"
"Y",591,200176,"15-49","1970"
"Y",598,436527,"15-49","1970"
"Y",600,279212,"15-49","1970"
"Y",604,1788137,"15-49","1970"
"Y",608,4612719,"15-49","1970"
"Y",616,5409804,"15-49","1970"
"Y",620,1479301,"15-49","1970"
"Y",624,123550,"15-49","1970"
"Y",626,98560,"15-49","1970"
"Y",630,340028,"15-49","1970"
"Y",634,11081,"15-49","1970"
"Y",638,57834,"15-49","1970"
"Y",642,3910228,"15-49","1970"
"Y",643,23495274,"15-49","1970"
"Y",646,562822,"15-49","1970"
"Y",659,3611,"15-49","1970"
"Y",660,448,"15-49","1970"
"Y",662,11974,"15-49","1970"
"Y",670,9923,"15-49","1970"
"Y",678,8209,"15-49","1970"
"Y",682,809858,"15-49","1970"
"Y",686,703041,"15-49","1970"
"Y",688,1487326,"15-49","1970"
"Y",690,5173,"15-49","1970"
"Y",694,527105,"15-49","1970"
"Y",702,271221,"15-49","1970"
"Y",703,767921,"15-49","1970"
"Y",704,5512765,"15-49","1970"
"Y",705,254401,"15-49","1970"
"Y",706,535994,"15-49","1970"
"Y",710,2519913,"15-49","1970"
"Y",716,728311,"15-49","1970"
"Y",724,5055933,"15-49","1970"
"Y",728,609764,"15-49","1970"
"Y",729,1655489,"15-49","1970"
"Y",732,13682,"15-49","1970"
"Y",740,44748,"15-49","1970"
"Y",748,45017,"15-49","1970"
"Y",752,1185117,"15-49","1970"
"Y",756,976034,"15-49","1970"
"Y",760,904438,"15-49","1970"
"Y",762,427314,"15-49","1970"
"Y",764,5357022,"15-49","1970"
"Y",768,374977,"15-49","1970"
"Y",772,178,"15-49","1970"
"Y",776,9844,"15-49","1970"
"Y",780,110126,"15-49","1970"
"Y",784,34479,"15-49","1970"
"Y",788,698976,"15-49","1970"
"Y",792,5871734,"15-49","1970"
"Y",795,305572,"15-49","1970"
