is_in_union,division_numeric_code,population_count,age_range,mid_year
Y,4,2030527,15-49,1970
Y,4,2076346,15-49,1971
Y,4,2126334,15-49,1972
Y,4,2178123,15-49,1973
Y,4,2221667,15-49,1974
Y,4,2262371,15-49,1975
Y,4,2288437,15-49,1976
Y,4,2311098,15-49,1977
Y,4,2325420,15-49,1978
Y,4,2325997,15-49,1979
Y,4,2310846,15-49,1980
Y,4,2258775,15-49,1981
Y,4,2192327,15-49,1982
Y,4,2119976,15-49,1983
Y,4,2051826,15-49,1984
Y,4,1994965,15-49,1985
Y,4,1948454,15-49,1986
Y,4,1919422,15-49,1987
Y,4,1915438,15-49,1988
Y,4,1944770,15-49,1989
Y,4,2009017,15-49,1990
Y,4,2133867,15-49,1991
Y,4,2301710,15-49,1992
Y,4,2487103,15-49,1993
Y,4,2660770,15-49,1994
Y,4,2806387,15-49,1995
Y,4,2893228,15-49,1996
Y,4,2942558,15-49,1997
Y,4,2974563,15-49,1998
Y,4,3014560,15-49,1999
Y,4,3077727,15-49,2000
Y,4,3179565,15-49,2001
Y,4,3312722,15-49,2002
Y,4,3464983,15-49,2003
Y,4,3619541,15-49,2004
Y,4,3765805,15-49,2005
Y,4,3874927,15-49,2006
Y,4,3967331,15-49,2007
Y,4,4051728,15-49,2008
Y,4,4141253,15-49,2009
Y,4,4244666,15-49,2010
Y,4,4416152,15-49,2011
Y,4,4615592,15-49,2012
Y,4,4837590,15-49,2013
Y,4,5073110,15-49,2014
Y,4,5315624,15-49,2015
Y,4,5550200,15-49,2016
Y,4,5779812,15-49,2017
Y,4,6007276,15-49,2018
Y,4,6237893,15-49,2019
Y,4,6474727,15-49,2020
Y,4,6717891,15-49,2021
Y,4,6966859,15-49,2022
Y,4,7218716,15-49,2023
Y,4,7469530,15-49,2024
Y,4,7716877,15-49,2025
Y,4,7965743,15-49,2026
Y,4,8211123,15-49,2027
Y,4,8450536,15-49,2028
Y,4,8681930,15-49,2029
Y,4,8903844,15-49,2030
