"division_numeric_code","mid_year","population_count","age_range","is_in_union"
4,1970.5,1926795.063,"15-49","Y"
8,1970.5,313884.9025,"15-49","Y"
12,1970.5,1880521.4926,"15-49","Y"
16,1970.5,3337.6105,"15-49","Y"
24,1970.5,998301.5184,"15-49","Y"
28,1970.5,5224.4529,"15-49","Y"
31,1970.5,790591.001,"15-49","Y"
32,1970.5,3625946.6057,"15-49","Y"
36,1970.5,1735959.6294,"15-49","Y"
40,1970.5,1143413.5884,"15-49","Y"
44,1970.5,21820.0223,"15-49","Y"
48,1970.5,29604.4259,"15-49","Y"
50,1970.5,12101195.6903,"15-49","Y"
51,1970.5,403699.525,"15-49","Y"
52,1970.5,26125.615,"15-49","Y"
56,1970.5,1630534.6225,"15-49","Y"
60,1970.5,7665.8569,"15-49","Y"
64,1970.5,45158.664,"15-49","Y"
68,1970.5,648345.2235,"15-49","Y"
70,1970.5,580677.0369,"15-49","Y"
72,1970.5,61364.3555,"15-49","Y"
76,1970.5,12619418.0316,"15-49","Y"
84,1970.5,15331.8492,"15-49","Y"
90,1970.5,23862.6039,"15-49","Y"
92,1970.5,901.2499,"15-49","Y"
96,1970.5,16317.0184,"15-49","Y"
100,1970.5,1644922.5615,"15-49","Y"
104,1970.5,3999753.3945,"15-49","Y"
108,1970.5,494765.5623,"15-49","Y"
112,1970.5,1658290.6247,"15-49","Y"
116,1970.5,1035815.9156,"15-49","Y"
120,1970.5,1089787.7501,"15-49","Y"
124,1970.5,3559557.1985,"15-49","Y"
132,1970.5,26861.0633,"15-49","Y"
136,1970.5,1295.7548,"15-49","Y"
140,1970.5,349532.3215,"15-49","Y"
144,1970.5,1668241.2671,"15-49","Y"
148,1970.5,640942.018,"15-49","Y"
152,1970.5,1282125.5103,"15-49","Y"
156,1970.5,119964215.6061,"15-49","Y"
158,1970.5,2076892.638,"15-49","Y"
170,1970.5,2380622.3777,"15-49","Y"
174,1970.5,35008.2224,"15-49","Y"
175,1970.5,3676.5491,"15-49","Y"
178,1970.5,177115.4038,"15-49","Y"
180,1970.5,3337301.6423,"15-49","Y"
184,1970.5,2340.0307,"15-49","Y"
188,1970.5,231381.9192,"15-49","Y"
191,1970.5,761986.6232,"15-49","Y"
192,1970.5,1381206.4078,"15-49","Y"
196,1970.5,94024.8492,"15-49","Y"
203,1970.5,1735890.0415,"15-49","Y"
204,1970.5,555027.3393,"15-49","Y"
208,1970.5,792793.6482,"15-49","Y"
212,1970.5,5396.7843,"15-49","Y"
214,1970.5,580816.6742,"15-49","Y"
218,1970.5,790830.9481,"15-49","Y"
222,1970.5,457239.0248,"15-49","Y"
226,1970.5,46531.4654,"15-49","Y"
231,1970.5,5007458.4236,"15-49","Y"
232,1970.5,202743.906,"15-49","Y"
233,1970.5,230907.8598,"15-49","Y"
234,1970.5,4991.1408,"15-49","Y"
238,1970.5,334.7168,"15-49","Y"
