"pars" "Rhat"
"1" "trad.ct" 1.11
"2" "trad.ct" 1.12
"3" "trad.ct" 1.13
"4" "trad.ct" 1.14
"5" "trad.ct" 1.13
"6" "trad.ct" 1.13
"7" "trad.ct" 1.13
"8" "trad.ct" 1.14
"9" "trad.ct" 1.13
"10" "trad.ct" 1.13
"11" "trad.ct" 1.13
"12" "trad.ct" 1.13
"13" "trad.ct" 1.12
"14" "trad.ct" 1.11
"15" "trad.ct" 1.11
"16" "unmet.ct" 1.11
"17" "unmet.ct" 1.12
"18" "unmet.ct" 1.12
"19" "unmet.ct" 1.13
"20" "unmet.ct" 1.14
"21" "unmet.ct" 1.15
"22" "unmet.ct" 1.15
"23" "unmet.ct" 1.15
"24" "unmet.ct" 1.16
"25" "unmet.ct" 1.16
"26" "unmet.ct" 1.18
"27" "unmet.ct" 1.19
"28" "unmet.ct" 1.18
"29" "unmet.ct" 1.19
"30" "unmet.ct" 1.19
"31" "unmet.ct" 1.19
"32" "unmet.ct" 1.18
"33" "unmet.ct" 1.19
"34" "unmet.ct" 1.18
"35" "unmet.ct" 1.17
"36" "unmet.ct" 1.17
"37" "unmet.ct" 1.16
"38" "unmet.ct" 1.16
"39" "unmet.ct" 1.15
"40" "unmet.ct" 1.15
"41" "unmet.ct" 1.13
"42" "unmet.ct" 1.13
"43" "unmet.ct" 1.11
"44" "unmet.ct" 1.11
